event,start_frame,end_frame
Walk,43,164
Leave,124,233
Enter,487,684
Walk,660,768
Sit_down,774,795
Take_something_off_table,834,861
Make_tea.Insert_tea_bag,1051,1152
Watch_TV,1166,1536
Take_something_off_table,1762,1786
Watch_TV,1776,2538
Drink.From_cup,1810,1867
Drink.From_cup,2358,2450
Put_something_on_table,2554,2580
Watch_TV,2620,3383
Take_something_off_table,2798,2817
Drink.From_cup,2816,2955
Put_something_on_table,2942,2964
Get_up,3174,3205
Walk,3354,3431
Leave,3411,3443
Enter,5565,5623
Walk,5584,5981
Take_something_off_table,6012,6027
Sit_down,6024,6071
Put_something_on_table,8206,8232
Get_up,8258,8316
Walk,8437,8641
Leave,8572,8742
Enter,9140,9341
Walk,9285,9522
Watch_TV,9491,9649
Walk,9643,9664
Leave,9645,9686
Enter,10175,10220
Walk,10308,10390
Walk,10442,10491
Walk,10535,10689
Take_something_off_table,10716,10746
Put_something_on_table,10789,10808
Sit_down,10900,10929
Read,10963,14836
Take_something_off_table,14683,14700
Drink.From_cup,14693,14778
Put_something_on_table,14766,14782
Get_up,14816,14851
Leave,14977,15030
Walk,14985,15017
Enter,15432,15463
Walk,15438,15613
Watch_TV,15607,15725
Walk,15735,15858
Watch_TV,15837,15960
Walk,15964,16057
Watch_TV,16069,16269
Walk,16253,16356
Watch_TV,16336,16447
Walk,16780,16820
Watch_TV,16794,16922
Walk,16874,17069
Take_something_off_table,17096,17115
Sit_down,17147,17167
Watch_TV,17150,17226
Take_something_off_table,17304,17320
Drink.From_cup,17308,17423
Put_something_on_table,17407,17426
Watch_TV,17424,18389
Get_up,18461,18485
Walk,18880,18934
Watch_TV,18882,19881
Walk,19887,20017
Leave,19963,20116
Enter,20441,20616
Walk,20571,20646
Watch_TV,20584,20885
Walk,20896,21036
Take_something_off_table,21138,21163
Use_telephone,21162,21525
Put_something_on_table,21514,21540
Take_something_off_table,21597,21614
Drink.From_cup,21605,21676
Walk,21618,22484
Drink.From_cup,22150,22212
Drink.From_cup,23197,23266
Walk,23270,23433
Put_something_on_table,23441,23472
Watch_TV,23583,23965
Drink.From_cup,23608,23700
Walk,23920,24247
Walk,24383,24505
Drink.From_cup,24512,24560
Put_something_on_table,24548,24564
Walk,24600,24688
Walk,24949,25415
Walk,25491,25592
Walk,25688,26090
