,captions
0,Write
1,Write
2,Write
3,Write
4,Write
5,Write
6,Write
7,Write
8,Write
9,Write
10,Write
11,Write
12,Write
13,Write
14,Write
15,Write
16,Make_tea.Boil_water
17,Make_tea.Boil_water
18,Make_tea.Boil_water
19,Make_tea.Boil_water
20,Make_tea.Boil_water
21,Make_tea.Boil_water
22,Make_tea.Boil_water
23,Make_tea.Boil_water
24,Make_tea.Boil_water
25,Make_tea.Boil_water
26,Make_tea.Boil_water
27,Make_tea.Boil_water
28,Make_tea.Boil_water
29,Make_tea.Boil_water
30,Make_tea.Boil_water
31,Make_tea.Boil_water
32,Make_tea.Boil_water
33,Make_tea.Boil_water
34,Make_tea.Boil_water
35,Make_tea.Boil_water
36,Make_tea.Boil_water
37,Make_tea.Boil_water
38,Make_tea.Boil_water
39,Make_tea.Boil_water
40,Make_tea.Boil_water
41,Make_tea.Boil_water
42,Make_tea.Boil_water
43,Make_tea.Boil_water
44,Make_tea.Boil_water
45,Make_tea.Boil_water
46,Make_tea.Boil_water
47,Make_tea.Boil_water
48,Use_telephone
49,Use_telephone
50,Use_telephone
51,Use_telephone
52,Use_telephone
53,Use_telephone
54,Use_telephone
55,Use_telephone
56,Use_telephone
57,Use_telephone
58,Use_telephone
59,Use_telephone
60,Use_telephone
61,Use_telephone
62,Use_telephone
63,Use_telephone
64,Use_telephone
65,Use_telephone
66,Use_telephone
67,Use_telephone
68,Use_telephone
69,Use_telephone
70,Use_telephone
71,Use_telephone
72,Use_telephone
73,Use_telephone
74,Use_telephone
75,Use_telephone
76,Use_telephone
77,Use_telephone
78,Use_telephone
79,Use_telephone
80,Use_telephone
81,Use_telephone
82,Use_telephone
83,Use_telephone
84,Use_telephone
85,Use_telephone
86,Use_telephone
87,Use_telephone
88,Use_telephone
89,Use_telephone
90,Use_telephone
91,Use_telephone
92,Use_telephone
93,Use_telephone
94,Use_telephone
95,Use_telephone
